,pizza,beaver,macadamia,tarantula,clothes,doormat,hammer,mistletoe,washcloth,drain,furnace,tea,chariot,coaster,music box,rolling pin,knob,bookshelf,candelabra,table,metal detector,bumper,turban,flagpole,plaster cast,tuba,camera,rudder,canvas,dice,toolbox,trigger,bowler hat,headphones,file,bench,navel,canister,tiara,hopscotch,trophy,punching bag,jet,telegraph,bag,laptop,tape measure,bucket
pizza,1,0.02,,0.02,0.13,0.10,0.11,0.04,0.01,0.03,0.07,0.18,-0.03,0.20,0.13,0.10,-0.04,0.11,0.02,0.13,0.05,0.04,0.06,0.10,0.02,0.13,0.07,0.02,-0.00,0.10,0.01,0.04,0.06,0.01,-0.02,0.09,-0.05,0.09,0.00,0.06,0.06,0.21,0.06,-0.01,0.23,,0.06,0.10
beaver,0.02,1,,0.07,0.16,0.02,0.12,0.15,0.05,0.05,0.01,0.06,-0.00,0.03,0.03,0.17,0.07,-0.02,0.06,0.04,-0.00,0.03,-0.00,0.06,0.10,0.02,0.02,0.09,0.18,0.02,0.07,0.15,0.17,-0.01,0.04,0.06,0.05,-0.02,-0.02,0.05,0.13,0.16,0.03,0.01,0.19,,0.03,0.26
macadamia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarantula,0.02,0.07,,1,-0.00,-0.00,0.02,0.05,-0.01,-0.01,0.02,0.02,-0.10,0.06,0.06,0.04,0.05,-0.06,0.01,0.05,-0.03,-0.07,-0.04,-0.02,-0.02,0.01,0.06,0.03,0.05,0.01,-0.08,0.09,-0.02,-0.02,-0.00,0.04,0.16,-0.05,-0.00,0.13,-0.05,0.02,0.11,-0.05,0.02,,0.02,0.05
clothes,0.13,0.16,,-0.00,1,0.15,0.11,0.07,0.09,0.12,0.08,0.19,0.14,0.04,0.13,0.22,0.08,0.14,0.18,0.10,0.07,0.11,0.12,0.07,0.11,0.04,0.07,0.02,0.30,0.02,0.08,0.10,0.53,0.14,0.00,0.21,0.02,0.20,0.25,0.11,0.05,0.34,0.07,0.03,0.37,,0.06,0.21
doormat,0.10,0.02,,-0.00,0.15,1,0.17,0.08,0.10,0.06,0.09,0.09,-0.05,0.09,0.04,0.13,0.04,0.07,-0.06,0.07,0.09,0.10,0.01,-0.00,0.06,0.05,-0.05,-0.08,0.00,0.06,0.05,0.06,0.13,0.10,0.01,0.06,0.01,0.05,-0.06,0.01,0.04,0.18,0.02,-0.02,0.22,,0.06,0.22
hammer,0.11,0.12,,0.02,0.11,0.17,1,0.11,0.08,0.12,0.24,0.02,-0.00,0.05,0.14,0.43,0.22,0.03,0.03,0.08,0.41,0.18,0.13,0.11,0.26,0.08,-0.00,0.14,0.20,0.04,0.11,0.17,0.24,0.06,0.05,0.33,0.06,0.01,0.03,0.01,0.12,0.21,0.00,-0.00,0.18,,0.16,0.17
mistletoe,0.04,0.15,,0.05,0.07,0.08,0.11,1,0.05,0.01,-0.02,-0.03,-0.02,0.00,0.07,0.03,0.02,0.03,-0.02,-0.02,-0.00,0.07,0.01,0.07,0.04,-0.00,0.03,0.01,0.12,-0.01,0.01,0.04,0.04,-0.08,-0.00,0.10,-0.03,-0.01,-0.09,0.05,-0.11,0.18,-0.03,0.00,0.17,,-0.02,0.07
washcloth,0.01,0.05,,-0.01,0.09,0.10,0.08,0.05,1,0.12,0.02,0.09,0.04,-0.04,0.03,0.11,0.06,-0.03,-0.07,0.12,-0.00,0.09,-0.09,-0.08,-0.01,0.02,0.01,0.01,-0.00,0.04,0.03,0.11,0.08,-0.04,-0.03,0.14,0.09,-0.09,0.06,0.02,0.03,0.06,0.06,-0.07,0.04,,0.02,0.06
drain,0.03,0.05,,-0.01,0.12,0.06,0.12,0.01,0.12,1,0.10,0.04,-0.05,0.05,0.09,0.28,0.14,0.08,-0.02,0.08,0.09,0.09,-0.00,-0.05,0.19,0.01,0.03,0.12,0.02,0.04,0.21,0.08,0.05,-0.02,-0.01,0.16,0.07,0.16,-0.03,-0.00,0.05,0.11,0.05,0.06,0.14,,0.07,0.36
