cord,smile,0.01
rooster,voyage,0.01
noon,string,0.09
fruit,furnace,-0.00
autograph,shore,0.01
automobile,wizard,0.01
mound,stove,0.08
grin,implement,0.04
asylum,fruit,0.10
asylum,monk,0.06
graveyard,madhouse,0.14
glass,magician,0.14
boy,rooster,0.09
cushion,jewel,0.12
monk,slave,-0.02
asylum,cemetery,0.21
coast,forest,0.14
grin,lad,0.34
shore,woodland,0.14
monk,oracle,0.06
boy,sage,0.06
automobile,cushion,0.23
mound,shore,0.13
lad,wizard,0.20
forest,graveyard,-0.01
food,rooster,0.03
cemetery,woodland,-0.01
shore,voyage,0.23
bird,woodland,0.12
coast,hill,0.05
furnace,implement,0.08
crane,rooster,0.12
hill,woodland,0.06
car,journey,0.10
cemetery,mound,0.14
glass,jewel,0.04
magician,oracle,0.29
crane,implement,-0.05
brother,lad,0.24
sage,wizard,0.07
oracle,sage,0.14
bird,crane,0.31
bird,cock,0.38
food,fruit,0.39
brother,monk,0.03
asylum,madhouse,0.12
furnace,stove,0.28
magician,wizard,0.29
hill,mound,0.26
cord,string,0.08
glass,tumbler,0.30
grin,smile,0.60
serf,slave,0.18
journey,voyage,0.43
autograph,signature,0.08
coast,shore,0.40
forest,woodland,0.64
implement,tool,0.13
cock,rooster,0.20
boy,lad,0.43
cushion,pillow,0.26
cemetery,graveyard,0.36
automobile,car,0.60
midday,noon,0.59
gem,jewel,0.21
