Occurrences	Word	Length	Freq_HAL	Log_Freq_HAL	POS
1	a	1	"10,610,626"	16.177	minor|NN
1	abdomen	7	"1,279"	7.154	NN
1	abduct	6	180	5.193	VB
1	ability	7	"56,922"	10.949	NN
1	absence	7	"7,304"	8.896	NN
1	absent	6	"3,019"	8.013	JJ
1	abstract	8	"8,606"	9.06	JJ|NN|VB
1	abundance	9	"1,825"	7.509	NN
1	abuse	5	"25,915"	10.163	VB
1	accelerate	10	"2,368"	7.77	VB
1	accept	6	"49,430"	10.808	VB
1	accident	8	"11,152"	9.319	NN
1	accomplish	10	"7,794"	8.961	VB
1	account	7	"60,958"	11.018	NN|VB
1	accumulate	10	"1,392"	7.238	VB
1	accuse	6	"3,798"	8.242	VB
1	ace	3	"6,967"	8.849	NN
1	ache	4	846	6.741	VB|NN
1	achieve	7	"15,544"	9.651	VB
1	achievement	11	"3,925"	8.275	NN
1	acid	4	"13,610"	9.519	NN|JJ
1	acknowledge	11	"6,783"	8.822	VB
1	acorn	5	"8,301"	9.024	NN
1	acquire	7	"6,529"	8.784	VB
1	acre	4	"1,554"	7.349	NN
1	acrobat	7	"2,449"	7.803	NN
1	act	3	"72,216"	11.187	NN|VB
1	action	6	"77,756"	11.261	NN
1	active	6	"35,565"	10.479	JJ
1	activity	8	"26,484"	10.184	NN
1	actor	5	"10,471"	9.256	NN
1	actress	7	"4,996"	8.516	NN
1	ad	2	"43,254"	10.675	NN|minor
1	add	3	"113,856"	11.643	VB
1	addict	6	"1,887"	7.543	NN
1	addiction	9	"3,437"	8.142	NN
1	addition	8	"46,938"	10.757	NN
1	address	7	"221,551"	12.308	NN
1	adjective	9	"1,045"	6.952	NN
1	adjourn	7	167	5.118	VB
1	adjustment	10	"4,675"	8.45	NN
1	admire	6	"3,160"	8.058	VB
1	admission	9	"6,004"	8.7	NN
1	admit	5	"27,202"	10.211	VB
1	adolescent	10	"1,523"	7.328	NN|JJ
1	adore	5	"1,059"	6.965	VB
1	adorn	5	121	4.796	VB
1	adult	5	"25,223"	10.136	NN|JJ
1	adultery	8	"1,228"	7.113	NN
1	advance	7	"79,091"	11.278	NN|VB
1	adventure	9	"12,865"	9.462	NN
1	adverb	6	149	5.004	NN
1	adversary	9	735	6.6	NN
1	advertisement	13	"4,858"	8.488	NN
1	advice	6	"44,488"	10.703	NN
1	advise	6	"9,061"	9.112	VB
1	affair	6	"5,294"	8.574	NN
1	affect	6	"18,690"	9.836	VB
1	affection	9	"1,910"	7.555	NN
1	Africa	6	"17,142"	9.749	NN
1	afternoon	9	"10,525"	9.262	NN
1	age	3	"66,835"	11.11	NN|VB
1	agency	6	"22,870"	10.038	NN
1	agenda	6	"9,832"	9.193	NN
1	agent	5	"22,078"	10.002	NN
1	aggravate	9	321	5.771	VB
1	agony	5	"2,245"	7.716	NN
1	agree	5	"103,383"	11.546	VB
1	agreement	9	"23,528"	10.066	NN
1	agriculture	11	"5,462"	8.606	NN
1	aid	3	"18,556"	9.829	NN|VB
1	aids	4	"22,058"	10.001	NN|VB
1	aim	3	"7,900"	8.975	NN|VB
1	air	3	"81,115"	11.304	NN|VB
1	aircraft	8	"17,225"	9.754	NN
1	airplane	8	"4,709"	8.457	NN
1	airport	7	"11,859"	9.381	NN
1	alarm	5	"5,599"	8.63	NN|VB
1	album	5	"39,796"	10.592	NN
1	alcohol	7	"14,209"	9.562	NN
1	ale	3	"4,919"	8.501	NN
1	alert	5	"8,982"	9.103	JJ|NN|VB
1	algae	5	"2,276"	7.73	NN
1	algebra	7	"2,526"	7.834	NN
1	allegiance	10	"1,343"	7.203	NN
1	allergy	7	"2,765"	7.925	NN
1	alley	5	"3,011"	8.01	NN
1	alligator	9	723	6.583	NN
1	allow	5	"76,957"	11.251	VB|NN
1	almanac	7	"1,374"	7.225	NN
1	Almighty	8	"1,923"	7.562	NN|JJ
1	almond	6	645	6.469	NN
1	alphabet	8	"2,867"	7.961	NN
1	alter	5	"7,920"	8.977	VB
