Occurrences	Word	Length	Freq_HAL	Log_Freq_HAL	POS
1	abandoned	9	5,160	8.549	VB|JJ
1	abstract	8	8,606	9.060	JJ|NN|VB
1	action	6	77,756	11.261	NN
1	ad	2	43,254	10.675	NN|minor
1	advertisement	13	4,858	8.488	NN
1	aerial	6	2,841	7.952	JJ
1	air	3	81,115	11.304	NN|VB
1	aircraft	8	17,225	9.754	NN
1	airplane	8	4,709	8.457	NN
1	airport	7	11,859	9.381	NN
1	alley	5	3,011	8.010	NN
1	amphibians	10	333	5.808	NN
1	ancient	7	18,204	9.809	JJ|NN
1	angel	5	18,184	9.808	NN
1	animals	7	25,826	10.159	NN
1	apartment	9	8,965	9.101	NN
1	apple	5	65,844	11.095	NN
1	aquarium	8	2,949	7.989	NN
1	arch	4	3,721	8.222	NN|VB
1	architecture	12	18,428	9.822	NN
1	arms	4	32,708	10.395	NN|VB
1	arrow	5	7,324	8.899	NN
1	art	3	62,513	11.043	NN
1	asphalt	7	1,271	7.148	NN
1	auto	4	15,581	9.654	NN
1	automobile	10	3,053	8.024	NN
1	autumn	6	3,168	8.061	NN
1	baby	4	35,810	10.486	NN|VB
1	bacon	5	3,147	8.054	NN
1	badge	5	2,039	7.620	NN
1	bag	3	16,427	9.707	NN|VB
1	bakery	6	544	6.299	NN
1	ball	4	38,502	10.558	NN
1	banana	6	2,879	7.965	NN
1	band	4	49,179	10.803	NN|VB
1	bar	3	31,561	10.360	NN|VB
1	barn	4	2,575	7.854	NN
1	baseball	8	18,372	9.819	NN
1	basket	6	2,815	7.943	NN
1	bath	4	5,621	8.634	NN
1	bathroom	8	6,414	8.766	NN
1	bay	3	32,845	10.400	NN|VB
1	beach	5	26,666	10.191	NN
1	beads	5	2,210	7.701	NN
1	beard	5	3,173	8.062	NN
1	beauty	6	12,714	9.450	NN
1	bed	3	31,345	10.353	NN|VB
1	bedroom	7	6,735	8.815	NN
1	beef	4	5,285	8.573	NN|VB
1	beer	4	24,708	10.115	NN
1	beetles	7	393	5.974	NN|VB
1	belly	5	5,986	8.697	NN|RB
1	bench	5	5,360	8.587	NN
1	berry	5	2,897	7.971	NN
1	Bible	5	24,550	10.108	NN
1	bicycle	7	5,038	8.525	NN
1	bike	4	22,527	10.022	NN|VB
1	bikini	6	1,391	7.238	NN
1	birds	5	14,487	9.581	NN
1	birthday	8	8,557	9.055	NN
1	black	5	160,756	11.988	JJ|NN|VB
1	blonde	6	6,624	8.798	JJ|NN
1	bloom	5	3,773	8.236	NN|VB
1	blossom	7	890	6.791	NN|VB
1	blue	4	89,005	11.396	JJ|NN
1	blurred	7	695	6.544	VB
1	boardwalk	9	572	6.349	NN
1	boat	4	15,857	9.671	NN
1	body	4	116,235	11.663	NN
1	book	4	190,905	12.160	NN|VB
1	boot	4	43,868	10.689	NN|VB
1	born	4	35,181	10.468	VB|JJ
1	bottle	6	18,633	9.833	NN|VB
1	boxer	5	1,744	7.464	NN
1	boys	4	23,926	10.083	NN
1	bracelet	8	443	6.094	NN
1	branch	6	13,544	9.514	NN|VB
1	bread	5	9,063	9.112	NN
1	break	5	47,766	10.774	VB|NN
1	breakfast	9	7,624	8.939	NN|VB
1	brick	5	3,969	8.286	NN
1	bride	5	3,676	8.210	NN
1	bridge	6	19,356	9.871	NN|VB
1	bright	6	13,726	9.527	JJ|NN
1	brown	5	42,129	10.648	JJ|NN|VB
1	bucket	6	3,329	8.110	NN|VB
1	buds	4	1,257	7.136	NN|VB
1	building	8	48,370	10.787	NN|VB
1	bunny	5	5,325	8.580	NN
1	burger	6	2,438	7.799	NN
1	burn	4	12,496	9.433	VB|NN
1	bus	3	35,778	10.485	NN|VB
1	butterfly	9	1,798	7.494	NN|RB|JJ
1	button	6	30,330	10.320	NN|VB
1	cactus	6	1,211	7.099	NN
1	cafe	4	4,444	8.399	NN
1	cake	4	6,250	8.740	NN|VB
1	camel	5	3,375	8.124	NN
1	camera	6	18,427	9.822	NN
1	can	3	1,625,073	14.301	VB|NN
1	canal	5	2,775	7.928	NN
1	candles	7	1,695	7.435	NN
1	candy	5	4,887	8.494	NN
1	canine	6	1,870	7.534	NN|JJ
1	canyon	6	4,250	8.355	NN
1	car	3	86,253	11.365	NN
1	card	4	222,822	12.314	NN
1	carnival	8	1,920	7.560	NN
1	carrots	7	1,337	7.198	NN
1	castle	6	11,629	9.361	NN
1	cat	3	38,649	10.562	NN
1	caterpillars	12	106	4.663	NN
1	cathedral	9	3,060	8.026	NN
1	cattle	6	3,830	8.251	NN
1	ceiling	7	4,994	8.516	NN
1	cemetery	8	1,475	7.296	NN
1	ceramic	7	1,792	7.491	JJ
1	chain	5	23,315	10.057	NN|VB
1	chair	5	18,589	9.830	NN|VB
1	chapel	6	2,917	7.978	NN
1	cheerleaders	12	428	6.059	NN
1	cheetah	7	476	6.165	NN
1	cherry	6	4,370	8.383	NN|JJ
1	chess	5	11,301	9.333	NN
1	chicken	7	11,478	9.348	NN|VB
1	children	8	96,102	11.473	NN
1	chipmunk	8	214	5.366	NN
1	chocolate	9	9,520	9.161	NN
1	chopper	7	846	6.741	NN
1	Christmas	9	12,680	9.448	NN
1	church	6	49,074	10.801	NN
1	cigarette	9	2,881	7.966	NN
1	circle	6	19,887	9.898	NN|VB
1	city	4	102,007	11.533	NN
1	cliff	5	5,132	8.543	NN
1	clock	5	24,496	10.106	NN
1	clothes	7	14,338	9.571	NN
1	cloud	5	6,301	8.748	NN|VB
1	clown	5	2,761	7.923	NN
1	club	4	63,264	11.055	NN|VB
1	coast	5	22,188	10.007	NN|VB
1	cocktail	8	1,491	7.307	NN
1	coffee	6	18,382	9.819	NN
1	coins	5	4,460	8.403	NN|VB
1	cold	4	34,854	10.459	JJ|NN
1	collage	7	750	6.620	NN
1	collar	6	4,155	8.332	NN|VB
1	collection	10	40,166	10.601	NN
1	colour	6	11,188	9.323	NN|VB
1	colourful	9	306	5.724	JJ
1	computer	8	253,358	12.443	NN
1	concert	7	12,029	9.395	NN
1	concrete	8	7,961	8.982	JJ|NN|VB
1	cone	4	3,540	8.172	NN
1	construction	12	21,131	9.958	NN
1	cookies	7	2,584	7.857	NN
1	cooking	7	6,591	8.793	NN|VB|JJ
1	cop	3	11,145	9.319	NN
1	copper	6	8,817	9.084	NN|JJ
1	costumes	8	1,547	7.344	NN
1	cottage	7	1,318	7.184	NN
1	country	7	106,711	11.578	NN
1	couple	6	93,448	11.445	NN|JJ|VB
1	cow	3	7,262	8.890	NN|VB
1	crab	4	980	6.888	NN
1	craft	5	6,908	8.840	NN|VB
1	crane	5	1,824	7.509	NN|VB
1	creatures	9	12,685	9.448	NN
1	crochet	7	445	6.098	VB|NN
1	cross	5	29,753	10.301	NN|VB
1	crow	4	4,667	8.448	NN|VB
1	crystal	7	13,437	9.506	NN
1	curled	6	1,051	6.957	VB
1	curve	5	7,958	8.982	NN|VB
1	cute	4	11,008	9.306	JJ|NN
1	daffodils	9	126	4.836	NN
1	daisy	5	1,330	7.193	NN
1	dance	5	26,125	10.171	NN|VB
1	dancers	7	3,387	8.128	NN
1	dandelion	9	232	5.447	NN
1	dark	4	71,249	11.174	JJ|NN|RB
1	daughter	8	19,485	9.877	NN
1	dawn	4	8,283	9.022	NN|VB
1	day	3	239,111	12.385	NN
1	dead	4	72,864	11.196	JJ|NN|RB
1	decoration	10	636	6.455	NN
1	deer	4	4,911	8.499	NN
1	demolition	10	2,249	7.718	NN
1	desert	6	17,569	9.774	NN
1	design	6	110,689	11.614	NN|VB
1	desk	4	13,624	9.520	NN
1	dessert	7	1,385	7.233	NN
1	dew	3	1,331	7.194	NN
1	diamond	7	18,291	9.814	NN
1	diner	5	1,030	6.937	NN
1	dinner	6	13,031	9.475	NN
1	dirt	4	7,642	8.941	NN
1	dirty	5	14,094	9.554	JJ|VB|NN
1	display	7	48,971	10.799	NN|VB
1	dog	3	58,314	10.974	NN|VB
1	dolls	5	2,727	7.911	NN|VB
1	dome	4	2,233	7.711	NN
1	doodle	6	366	5.903	NN|VB
1	door	4	53,813	10.893	NN
1	downtown	8	6,886	8.837	NN|RB|JJ
1	dragon	6	29,320	10.286	NN
1	dragonfly	9	1,856	7.526	NN
1	drawn	5	11,970	9.390	VB|NN|JJ
1	dress	5	12,384	9.424	NN|VB
1	dripping	8	2,100	7.650	VB
1	drive	5	171,708	12.054	NN|VB
1	droplets	8	419	6.038	NN
1	dropped	7	19,263	9.866	VB
1	drug	4	37,439	10.530	NN|VB
1	duck	4	6,829	8.829	NN|VB
1	dude	4	6,892	8.838	NN
1	dusk	4	795	6.678	NN
1	dye	3	1,750	7.467	NN|VB
1	eagle	5	6,845	8.831	NN
1	ear	3	11,312	9.334	NN
1	eat	3	35,550	10.479	VB|NN
1	eggs	4	8,214	9.014	NN|VB
1	elephant	8	7,010	8.855	NN
1	engine	6	39,577	10.586	NN
1	escalator	9	189	5.242	NN
1	evening	7	18,925	9.848	NN
1	exhibition	10	3,096	8.038	NN
1	explosion	9	5,867	8.677	NN
1	eyes	4	58,027	10.969	NN|VB
1	fabric	6	5,876	8.679	NN
1	face	4	77,706	11.261	NN|VB
1	family	6	88,710	11.393	NN
1	farm	4	10,864	9.293	NN|VB
1	fashion	7	13,373	9.501	NN|VB
1	feathers	8	1,784	7.487	NN
1	feel	4	162,048	11.996	VB|NN
1	feet	4	40,143	10.600	NN
1	feline	6	1,174	7.068	JJ|NN
1	fell	4	16,827	9.731	VB|NN
1	female	6	43,053	10.670	JJ|NN
1	fence	5	5,277	8.571	NN|VB
1	festival	8	9,122	9.118	NN
1	field	5	79,920	11.289	NN|VB
1	figure	6	56,510	10.942	NN|VB
1	fire	4	62,707	11.046	NN|VB
1	fireworks	9	1,609	7.383	NN|VB
1	fish	4	30,614	10.329	NN|VB
1	fishing	7	9,675	9.177	NN|VB
1	flag	4	15,311	9.636	NN|VB
1	flame	5	34,637	10.453	NN|VB
