Occurrences	Word	Length	Freq_HAL	Log_Freq_HAL	POS
1	abdomen	7	1,279	7.154	NN
1	ability	7	56,922	10.949	NN
1	absence	7	7,304	8.896	NN
1	abundance	9	1,825	7.509	NN
1	activity	8	26,484	10.184	NN
1	actress	7	4,996	8.516	NN
1	administration	14	29,660	10.298	NN
1	adversary	9	735	6.600	NN
1	advise	6	9,061	9.112	VB
1	afraid	6	23,303	10.056	JJ
1	age	3	66,835	11.110	NN|VB
1	aggression	10	3,010	8.010	NN
1	agony	5	2,245	7.716	NN
1	airport	7	11,859	9.381	NN
1	anarchy	7	3,489	8.157	NN
1	anatomy	7	2,322	7.750	NN
1	anchor	6	2,766	7.925	NN|VB
1	angle	5	10,577	9.266	NN|VB
1	ant	3	2,773	7.928	NN
1	apparent	8	10,467	9.256	JJ
1	appliance	9	816	6.704	NN
1	appoint	7	1,079	6.984	VB
1	appointment	11	4,706	8.457	NN
1	archbishop	10	569	6.344	NN
1	arrow	5	7,324	8.899	NN
1	assignment	10	8,029	8.991	NN
1	atmosphere	10	10,109	9.221	NN
1	attach	6	7,340	8.901	VB|NN
1	attitude	8	20,636	9.935	NN
1	attorney	8	14,590	9.588	NN
1	August	6	20,056	9.906	NN
1	aviation	8	4,453	8.401	NN
1	awareness	9	7,758	8.956	NN
1	bag	3	16,427	9.707	NN|VB
1	ballad	6	985	6.893	NN
1	banker	6	1,088	6.992	NN
1	barn	4	2,575	7.854	NN
1	basket	6	2,815	7.943	NN
1	basketball	10	9,831	9.193	NN
1	battle	6	28,733	10.266	NN|VB
1	beast	5	16,393	9.705	NN
1	beautiful	9	31,342	10.353	JJ
1	beauty	6	12,714	9.450	NN
1	beef	4	5,285	8.573	NN|VB
1	behave	6	5,743	8.656	VB
1	belly	5	5,986	8.697	NN|RB
1	belt	4	10,820	9.289	NN
1	bench	5	5,360	8.587	NN
1	beverage	8	1,425	7.262	NN
1	bias	4	9,171	9.124	NN|VB
1	biography	9	2,988	8.002	NN
1	biology	7	10,686	9.277	NN
1	bishop	6	5,501	8.613	NN
1	bizarre	7	5,944	8.690	JJ
1	blade	5	9,592	9.169	NN
1	blanket	7	3,814	8.246	NN
1	bold	4	5,486	8.610	JJ
1	border	6	16,800	9.729	NN|VB
1	boundary	8	4,319	8.371	NN
1	brain	5	54,113	10.899	NN
1	breathe	7	3,117	8.045	VB
1	brick	5	3,969	8.286	NN
1	brow	4	804	6.690	NN
1	bubble	6	5,866	8.677	NN|JJ|VB
1	bulb	4	3,246	8.085	NN
1	bull	4	8,305	9.025	NN
1	bunch	5	30,310	10.319	NN|VB
1	burial	6	1,101	7.004	NN
1	bush	4	10,889	9.296	NN
1	butter	6	6,848	8.832	NN|VB
1	button	6	30,330	10.320	NN|VB
1	cage	4	8,498	9.048	NN
1	calendar	8	9,382	9.147	NN|JJ
1	calf	4	1,478	7.298	NN
1	camp	4	15,938	9.676	NN|VB
1	cancer	6	18,210	9.810	NN
1	candidate	9	22,638	10.027	NN
1	candy	5	4,887	8.494	NN
1	canyon	6	4,250	8.355	NN
1	capital	7	24,646	10.112	NN
1	captain	7	21,156	9.960	NN|VB
1	carbon	6	6,035	8.705	NN|JJ
1	card	4	222,822	12.314	NN
1	cardboard	9	3,370	8.123	NN
1	carpet	6	9,279	9.136	NN|VB
1	cathedral	9	3,060	8.026	NN
1	celebration	11	2,901	7.973	NN
1	cell	4	16,077	9.685	NN
1	cellar	6	1,138	7.037	NN
1	cereal	6	3,178	8.064	NN
1	ceremony	8	5,060	8.529	NN
1	certain	7	81,374	11.307	JJ|RB|NN
1	champion	8	8,243	9.017	NN|VB
