Occurrences	Word	Length	Freq_HAL	Log_Freq_HAL	POS
1	abuse	5	25,915	10.163	VB
1	accommodation	13	2,006	7.604	NN
1	activity	8	26,484	10.184	NN
1	admission	9	6,004	8.700	NN
2	airport	7	11,859	9.381	NN
1	alcohol	7	14,209	9.562	NN
1	aluminum	8	6,380	8.761	NN|JJ
1	american	8	119,723	11.693	JJ|NN
1	animal	6	24,745	10.116	NN
6	announcement	12	12,319	9.419	NN
1	antecedent	10	256	5.545	NN
1	anxiety	7	2,664	7.888	NN
2	approach	8	34,189	10.440	NN|VB
4	architecture	12	18,428	9.822	NN
1	area	4	160,430	11.986	NN
2	arrangement	11	6,832	8.829	NN
1	arrival	7	6,175	8.728	NN
2	article	7	861,595	13.667	NN
1	artifact	8	43,646	10.684	NN
2	association	11	34,963	10.462	NN
1	astronomer	10	943	6.849	NN
1	asylum	6	1,696	7.436	NN
4	atmosphere	10	10,109	9.221	NN
2	attempt	7	41,637	10.637	NN|VB
1	attitude	8	20,636	9.935	NN
1	automobile	10	3,053	8.024	NN
1	avenue	6	20,151	9.911	NN
1	baby	4	35,810	10.486	NN|VB
2	bank	4	39,506	10.584	NN|VB
1	baseball	8	18,372	9.819	NN
1	basketball	10	9,831	9.193	NN
1	bed	3	31,345	10.353	NN|VB
2	bird	4	19,070	9.856	NN
1	bishop	6	5,501	8.613	NN
1	block	5	33,257	10.412	NN|VB
2	board	5	79,617	11.285	NN|VB
2	book	4	190,905	12.160	NN|VB
1	boxing	6	2,810	7.941	NN|VB
1	boy	3	42,823	10.665	NN
1	brandy	6	1,564	7.355	NN
1	brazil	6	6,287	8.746	NN
1	bread	5	9,063	9.112	NN
3	brother	7	23,702	10.073	NN
1	buck	4	6,798	8.824	NN|VB
1	butter	6	6,848	8.832	NN|VB
2	cabbage	7	1,124	7.025	NN
2	calculation	11	3,913	8.272	NN
1	canyon	6	4,250	8.355	NN
10	car	3	86,253	11.365	NN
1	card	4	222,822	12.314	NN
1	carnivore	9	182	5.204	NN
1	cash	4	39,508	10.584	NN|VB
1	cat	3	38,649	10.562	NN
1	category	8	17,024	9.742	NN
1	cell	4	16,077	9.685	NN
2	cemetery	8	1,475	7.296	NN
2	center	6	87,347	11.378	NN|VB
5	century	7	31,984	10.373	NN
1	challenge	9	20,677	9.937	NN|VB
1	championship	12	7,146	8.874	NN
2	chance	6	58,965	10.985	NN|VB
1	change	6	157,119	11.965	NN|VB
4	chemistry	9	12,668	9.447	NN
2	children	8	96,102	11.473	NN
2	chord	5	4,237	8.352	NN
1	citizen	7	17,961	9.796	NN
1	clinic	6	4,499	8.412	NN
2	closet	6	5,258	8.568	NN
1	clothes	7	14,338	9.571	NN
5	coast	5	22,188	10.007	NN|VB
1	cock	4	23,323	10.057	NN|VB
1	coffee	6	18,382	9.819	NN
3	cognition	9	778	6.657	NN
2	collection	10	40,166	10.601	NN
2	combination	11	20,582	9.932	NN
1	communication	13	44,283	10.698	NN
1	company	7	156,262	11.959	NN
1	competition	11	21,416	9.972	NN
1	computation	11	3,320	8.108	NN
5	computer	8	253,358	12.443	NN
1	concert	7	12,029	9.395	NN
2	conclusion	10	16,476	9.710	NN
2	confidence	10	14,812	9.603	NN
1	constellation	13	1,187	7.079	NN
4	consumer	8	14,613	9.590	NN
1	country	7	106,711	11.578	NN
3	crane	5	1,824	7.509	NN|VB
2	credibility	11	5,766	8.660	NN
2	credit	6	49,110	10.802	NN|VB
1	crew	4	15,253	9.633	NN|VB
2	crisis	6	13,610	9.519	NN
1	criterion	9	2,546	7.842	NN
1	critic	6	2,542	7.841	NN
3	cucumber	8	690	6.537	NN
2	culture	7	38,335	10.554	NN
13	cup	3	27,792	10.233	NN|VB
2	currency	8	9,721	9.182	NN
1	dawn	4	8,283	9.022	NN|VB
2	day	3	239,111	12.385	NN
4	death	5	77,796	11.262	NN
1	decoration	10	636	6.455	NN
1	defeat	6	7,657	8.943	VB|NN
1	defeating	9	1,038	6.945	VB
4	delay	5	13,068	9.478	NN|VB
2	departure	9	3,732	8.225	NN
3	deployment	10	2,729	7.912	NN
1	deposit	7	4,355	8.379	NN|VB
1	depression	10	7,691	8.948	NN
4	development	11	130,333	11.778	NN
2	direction	9	30,901	10.339	NN
1	disability	10	4,777	8.472	NN
1	disaster	8	8,160	9.007	NN
1	discipline	10	7,415	8.911	NN|VB
1	discovery	9	7,790	8.961	NN
2	dividend	8	1,542	7.341	NN
5	doctor	6	31,917	10.371	NN|VB
5	dollar	6	23,916	10.082	NN
9	drink	5	19,872	9.897	VB|NN
1	drought	7	1,069	6.974	NN
1	drug	4	37,439	10.530	NN|VB
2	ear	3	11,312	9.334	NN
1	earning	7	3,517	8.165	VB|NN
1	eat	3	35,550	10.479	VB|NN
1	ecology	7	2,998	8.006	NN
